last_name, first_name,player_id,year,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,n_sl_formatted,sl_avg_speed,sl_avg_spin,n_ch_formatted,ch_avg_speed,ch_avg_spin,n_cukc_formatted,cu_avg_speed,cu_avg_spin,n_sift_formatted,si_avg_speed,si_avg_spin,n_fc_formatted,fc_avg_speed,fc_avg_spin,n_fs_formatted,fs_avg_speed,fs_avg_spin,n_kn_formatted,kn_avg_speed,kn_avg_spin,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,
Lyles, Jordan,543475,2021,R,647,47.6,92.7,2343,27.4,84.9,2672,7.3,85.8,1807,16.8,80.1,2711,0.9,92.2,2387,,,,,,,,,,48.5,92.7,2344,44.2,83.1,2687,7.3,85.8,1807,
Bauer, Trevor,545333,2021,R,822,45.7,93.8,2831,16.7,81.3,3015,1,86.4,2044,13,79.9,3030,,,,23.6,85.5,2883,,,,,,,69.3,91,2850,29.7,80.7,3022,1,86.4,2044,
Ryu, Hyun Jin,547943,2021,L,607,28.3,89.4,1930,,,,30.6,78.7,1480,12.9,72.6,2481,1,89.3,2021,27.2,84.9,2007,,,,,,,56.5,87.3,1969,12.9,72.6,2481,30.6,78.7,1480,
Wheeler, Zack,554430,2021,R,824,45,97.2,2389,25.8,91.2,2372,5,90,1781,7.3,81,2610,16.9,96.8,2217,,,,,,,,,,61.9,97.1,2342,33.1,88.9,2424,5,90,1781,
Urena, Jose,570632,2021,R,643,15.4,94.6,2135,26.4,86,2333,9.6,90.5,1683,,,,48.5,94.3,2186,,,,,,,,,,63.9,94.4,2174,26.4,86,2333,9.6,90.5,1683,
Boyd, Matthew,571510,2021,L,599,45.6,91.7,2335,20.9,79.4,2370,24.4,79.7,1893,6.5,73.8,2616,2.7,89.1,2269,,,,,,,,,,48.2,91.5,2331,27.4,78,2428,24.4,79.7,1893,
Matz, Steven,571927,2021,L,614,,,,11.9,88,2094,26.9,85.5,2237,16.3,78,2366,45,94.6,2164,,,,,,,,,,45,94.6,2164,28.2,82.2,2251,26.9,85.5,2237,
Richards, Garrett,572070,2021,R,696,54.3,93.9,2577,25.9,88.1,2856,,,,19.1,79.3,3273,0.7,94.5,2631,,,,,,,,,,55,93.9,2577,45,84.4,3033,,,,
Keuchel, Dallas,572971,2021,L,654,2.1,88.6,2159,7.2,77.2,2320,31,79.9,1595,,,,41.1,87.8,1995,18.5,85.6,2156,,,,,,,61.8,87.2,2049,7.2,77.2,2320,31,79.9,1595,
Stroman, Marcus,573186,2021,R,585,2.9,93.5,2492,24.1,86.2,2748,,,,1.9,80.8,2609,45.5,92.6,2388,15.7,90.8,2607,9.9,87.8,1727,,,,64.1,92.2,2447,26,85.8,2738,9.9,87.8,1727,
